Country,n,variable, mean , sd , max , min 
USA,2394,ke, 0.08 , 0.02 , 0.18 , 0.03 
Spain,804,ke, 0.10 , 0.02 , 0.20 , 0.06 
Germany,343,ke, 0.08 , 0.02 , 0.20 , 0.04 
United Kingdom,247,ke, 0.08 , 0.02 , 0.13 , 0.05 
Italy,205,ke, 0.10 , 0.02 , 0.17 , 0.07 
France,134,ke, 0.08 , 0.02 , 0.14 , 0.04 
Switzerland,113,ke, 0.07 , 0.02 , 0.13 , 0.04 
Brazil,112,ke, 0.12 , 0.03 , 0.19 , 0.05 
Canada,110,ke, 0.07 , 0.01 , 0.14 , 0.04 
China,95,ke, 0.12 , 0.02 , 0.18 , 0.07 
Portugal,52,ke, 0.11 , 0.02 , 0.17 , 0.06 
Norway,51,ke, 0.08 , 0.02 , 0.14 , 0.05 
Greece,50,ke, 0.17 , 0.04 , 0.29 , 0.11 
Sweden,50,ke, 0.08 , 0.02 , 0.14 , 0.05 
Belgium,48,ke, 0.09 , 0.02 , 0.14 , 0.05 
Austria,47,ke, 0.08 , 0.02 , 0.14 , 0.05 
Japan,28,ke, 0.08 , 0.03 , 0.12 , 0.04 
Mexico,24,ke, 0.11 , 0.03 , 0.16 , 0.05 
Argentina,20,ke, 0.19 , 0.06 , 0.35 , 0.14 
Russia,18,ke, 0.13 , 0.04 , 0.25 , 0.10 
Australia,17,ke, 0.10 , 0.05 , 0.29 , 0.06 
Chile,17,ke, 0.10 , 0.03 , 0.15 , 0.04 
Malaysia,13,ke, 0.12 , 0.02 , 0.15 , 0.10 
India,12,ke, 0.15 , 0.04 , 0.21 , 0.08 
Poland,12,ke, 0.10 , 0.01 , 0.12 , 0.09 
Colombia,11,ke, 0.13 , 0.04 , 0.18 , 0.06 
Korea(South),11,ke, 0.10 , 0.02 , 0.13 , 0.07 
Lituania,11,ke, 0.12 , 0.02 , 0.15 , 0.09 
Hong Kong,9,ke, 0.09 , 0.03 , 0.14 , 0.04 
Indonesia,9,ke, 0.14 , 0.01 , 0.15 , 0.12 
Netherlands,9,ke, 0.08 , 0.01 , 0.11 , 0.07 
Peru,9,ke, 0.11 , 0.04 , 0.15 , 0.05 
Singapore,9,ke, 0.07 , 0.01 , 0.09 , 0.05 
Czech Republic,8,ke, 0.08 , 0.01 , 0.10 , 0.06 
New Zealand,8,ke, 0.09 , 0.02 , 0.11 , 0.06 
Finland,7,ke, 0.09 , 0.01 , 0.10 , 0.07 
Ireland,7,ke, 0.10 , 0.03 , 0.13 , 0.06 
Taiwan,7,ke, 0.09 , 0.02 , 0.13 , 0.08 
Bulgaria,6,ke, 0.11 , 0.01 , 0.12 , 0.09 
Denmark,6,ke, 0.08 , 0.01 , 0.09 , 0.07 
Hungary,6,ke, 0.13 , 0.02 , 0.15 , 0.09 
Israel,6,ke, 0.10 , 0.02 , 0.11 , 0.07 
South Africa,6,ke, 0.13 , 0.02 , 0.15 , 0.11 
Bolivia,5,ke, 0.14 , 0.02 , 0.16 , 0.11 
Egypt,5,ke, 0.22 , 0.01 , 0.23 , 0.21 
Pakistan,5,ke, 0.27 , 0.02 , 0.28 , 0.24 
Romania,5,ke, 0.13 , 0.01 , 0.14 , 0.12 
Slovenia,5,ke, 0.13 , 0.02 , 0.14 , 0.10 
Thailand,5,ke, 0.11 , 0.00 , 0.12 , 0.11 
Turkey,5,ke, 0.14 , 0.04 , 0.17 , 0.08 
Venezuela,5,ke, 0.19 , 0.04 , 0.22 , 0.15 
USA,2394,rf, 0.02 , 0.01 , 0.06 , 0.00 
Spain,804,rf, 0.04 , 0.01 , 0.06 , 0.01 
Germany,343,rf, 0.02 , 0.01 , 0.07 , 0.00 
United Kingdom,247,rf, 0.02 , 0.01 , 0.07 , 0.00 
Italy,205,rf, 0.04 , 0.01 , 0.08 , 0.02 
France,134,rf, 0.02 , 0.01 , 0.05 , 0.00 
Switzerland,113,rf, 0.01 , 0.00 , 0.03 , 0.01 
Brazil,112,rf, 0.06 , 0.02 , 0.10 , 0.03 
Canada,110,rf, 0.02 , 0.01 , 0.05 , 0.01 
China,95,rf, 0.04 , 0.01 , 0.06 , 0.02 
Portugal,52,rf, 0.05 , 0.01 , 0.06 , 0.03 
Norway,51,rf, 0.02 , 0.01 , 0.05 , 0.00 
Greece,50,rf, 0.10 , 0.01 , 0.10 , 0.02 
Sweden,50,rf, 0.02 , 0.01 , 0.05 , 0.00 
Belgium,48,rf, 0.02 , 0.01 , 0.05 , 0.00 
Austria,47,rf, 0.02 , 0.01 , 0.05 , 0.00 
Japan,28,rf, 0.01 , 0.01 , 0.04 , 0.00 
Mexico,24,rf, 0.05 , 0.01 , 0.07 , 0.03 
Argentina,20,rf, 0.09 , 0.03 , 0.13 , 0.01 
Russia,18,rf, 0.06 , 0.01 , 0.08 , 0.03 
Australia,17,rf, 0.03 , 0.01 , 0.05 , 0.02 
Chile,17,rf, 0.05 , 0.03 , 0.14 , 0.03 
Malaysia,13,rf, 0.04 , 0.01 , 0.06 , 0.03 
India,12,rf, 0.07 , 0.01 , 0.09 , 0.04 
Poland,12,rf, 0.04 , 0.00 , 0.05 , 0.03 
Colombia,11,rf, 0.05 , 0.01 , 0.06 , 0.03 
Korea(South),11,rf, 0.03 , 0.01 , 0.05 , 0.03 
Lituania,11,rf, 0.04 , 0.00 , 0.04 , 0.03 
Hong Kong,9,rf, 0.01 , 0.01 , 0.05 , 0.00 
Indonesia,9,rf, 0.06 , 0.01 , 0.07 , 0.06 
Netherlands,9,rf, 0.02 , 0.01 , 0.04 , 0.02 
Peru,9,rf, 0.05 , 0.02 , 0.07 , 0.01 
Singapore,9,rf, 0.02 , 0.01 , 0.05 , 0.01 
Czech Republic,8,rf, 0.02 , 0.01 , 0.03 , 0.01 
New Zealand,8,rf, 0.04 , 0.01 , 0.05 , 0.03 
Finland,7,rf, 0.02 , 0.00 , 0.03 , 0.02 
Ireland,7,rf, 0.03 , 0.00 , 0.04 , 0.03 
Taiwan,7,rf, 0.01 , 0.01 , 0.02 , -   
Bulgaria,6,rf, 0.03 , 0.00 , 0.03 , 0.02 
Denmark,6,rf, 0.02 , 0.00 , 0.02 , 0.02 
Hungary,6,rf, 0.05 , 0.02 , 0.06 , 0.01 
Israel,6,rf, 0.03 , 0.01 , 0.04 , 0.02 
South Africa,6,rf, 0.06 , 0.01 , 0.07 , 0.06 
Bolivia,5,rf, 0.03 , 0.03 , 0.07 , 0.01 
Egypt,5,rf, 0.13 , 0.01 , 0.14 , 0.12 
Pakistan,5,rf, 0.11 , 0.02 , 0.12 , 0.09 
Romania,5,rf, 0.05 , 0.01 , 0.06 , 0.04 
Slovenia,5,rf, 0.06 , 0.01 , 0.06 , 0.04 
Thailand,5,rf, 0.04 , 0.01 , 0.05 , 0.03 
Turkey,5,rf, 0.06 , 0.01 , 0.07 , 0.05 
Venezuela,5,rf, 0.08 , 0.03 , 0.10 , 0.03 
USA,2394,mrp, 0.06 , 0.02 , 0.16 , 0.03 
Spain,804,mrp, 0.06 , 0.02 , 0.15 , 0.03 
Germany,343,mrp, 0.06 , 0.02 , 0.18 , 0.02 
United Kingdom,247,mrp, 0.06 , 0.01 , 0.11 , 0.02 
Italy,205,mrp, 0.06 , 0.02 , 0.12 , 0.03 
France,134,mrp, 0.06 , 0.02 , 0.12 , 0.03 
Switzerland,113,mrp, 0.06 , 0.02 , 0.12 , 0.03 
Brazil,112,mrp, 0.07 , 0.02 , 0.12 , 0.02 
Canada,110,mrp, 0.05 , 0.01 , 0.12 , 0.03 
China,95,mrp, 0.08 , 0.02 , 0.14 , 0.03 
Portugal,52,mrp, 0.06 , 0.02 , 0.12 , 0.03 
Norway,51,mrp, 0.06 , 0.02 , 0.12 , 0.03 
Greece,50,mrp, 0.07 , 0.04 , 0.21 , 0.03 
Sweden,50,mrp, 0.06 , 0.02 , 0.12 , 0.03 
Belgium,48,mrp, 0.06 , 0.02 , 0.12 , 0.03 
Austria,47,mrp, 0.06 , 0.02 , 0.12 , 0.03 
Japan,28,mrp, 0.07 , 0.03 , 0.11 , 0.02 
Mexico,24,mrp, 0.07 , 0.02 , 0.14 , 0.01 
Argentina,20,mrp, 0.11 , 0.08 , 0.34 , 0.04 
Russia,18,mrp, 0.07 , 0.04 , 0.20 , 0.01 
Australia,17,mrp, 0.07 , 0.05 , 0.25 , 0.03 
Chile,17,mrp, 0.05 , 0.02 , 0.08 , 0.01 
Malaysia,13,mrp, 0.08 , 0.01 , 0.10 , 0.06 
India,12,mrp, 0.09 , 0.03 , 0.13 , 0.03 
Poland,12,mrp, 0.06 , 0.01 , 0.07 , 0.05 
Colombia,11,mrp, 0.08 , 0.03 , 0.13 , 0.01 
Korea(South),11,mrp, 0.07 , 0.02 , 0.10 , 0.04 
Lituania,11,mrp, 0.08 , 0.02 , 0.11 , 0.06 
Hong Kong,9,mrp, 0.07 , 0.03 , 0.13 , 0.04 
Indonesia,9,mrp, 0.08 , 0.01 , 0.10 , 0.06 
Netherlands,9,mrp, 0.06 , 0.01 , 0.09 , 0.05 
Peru,9,mrp, 0.07 , 0.02 , 0.08 , 0.02 
Singapore,9,mrp, 0.05 , 0.02 , 0.06 , 0.01 
Czech Republic,8,mrp, 0.07 , 0.01 , 0.08 , 0.05 
New Zealand,8,mrp, 0.05 , 0.02 , 0.08 , 0.03 
Finland,7,mrp, 0.07 , 0.01 , 0.09 , 0.06 
Ireland,7,mrp, 0.06 , 0.03 , 0.09 , 0.03 
Taiwan,7,mrp, 0.07 , 0.02 , 0.11 , 0.04 
Bulgaria,6,mrp, 0.08 , 0.01 , 0.09 , 0.07 
Denmark,6,mrp, 0.06 , 0.01 , 0.07 , 0.06 
Hungary,6,mrp, 0.08 , 0.02 , 0.09 , 0.06 
Israel,6,mrp, 0.06 , 0.01 , 0.07 , 0.05 
South Africa,6,mrp, 0.07 , 0.01 , 0.08 , 0.05 
Bolivia,5,mrp, 0.11 , 0.02 , 0.12 , 0.08 
Egypt,5,mrp, 0.09 , 0.01 , 0.11 , 0.08 
Pakistan,5,mrp, 0.16 , 0.01 , 0.16 , 0.15 
Romania,5,mrp, 0.08 , 0.01 , 0.09 , 0.06 
Slovenia,5,mrp, 0.07 , 0.02 , 0.08 , 0.06 
Thailand,5,mrp, 0.08 , 0.01 , 0.08 , 0.07 
Turkey,5,mrp, 0.08 , 0.03 , 0.10 , 0.03 
Venezuela,5,mrp, 0.11 , 0.02 , 0.13 , 0.08 
